Option_Type,Spot_Price,Strike_Price,Time_to_Expiry,Expiry_Date,Implied_Volatility,Risk_Free_Rate,Market_Price,BSM_Theoretical_Price
Call,22000,22800,0.16,2025-10-10,0.28,0.06,754.7,743.28
Put,22000,21800,0.02,2025-08-18,0.23,0.06,186.66,179.37
Call,22000,22700,0.02,2025-08-18,0.29,0.06,116.39,112.84
Call,22000,22700,0.04,2025-08-25,0.2,0.06,113.69,118.61
Put,22000,22500,0.04,2025-08-25,0.35,0.06,828.03,851.89
Put,22000,22600,0.04,2025-08-25,0.35,0.06,955.08,920.68
Put,22000,22100,0.25,2025-11-09,0.33,0.06,1360.51,1320.22
Call,22000,21800,0.02,2025-08-18,0.22,0.06,392.92,393.34
Put,22000,22500,0.08,2025-09-10,0.32,0.06,1030.72,1024.71
Put,22000,21000,0.16,2025-10-10,0.17,0.06,174.18,163.72
Put,22000,21300,0.16,2025-10-10,0.27,0.06,526.26,542.3
Put,22000,21200,0.02,2025-08-18,0.15,0.06,6.19,6.03
Put,22000,22300,0.04,2025-08-25,0.25,0.06,557.25,562.94
Call,22000,22500,0.25,2025-11-09,0.19,0.06,761.86,770.25
Call,22000,21300,0.02,2025-08-18,0.25,0.06,833.39,789.99
Put,22000,22900,0.08,2025-09-10,0.28,0.06,1230.55,1181.78
Call,22000,22500,0.16,2025-10-10,0.25,0.06,799.85,768.59
Put,22000,22300,0.25,2025-11-09,0.25,0.06,1132.11,1062.75
Put,22000,21100,0.25,2025-11-09,0.25,0.06,564.36,563.77
Put,22000,22400,0.02,2025-08-18,0.19,0.06,481.16,465.29
Call,22000,22500,0.08,2025-09-10,0.26,0.06,486.57,494.23
Put,22000,22600,0.02,2025-08-18,0.35,0.06,788.76,776.18
Put,22000,22300,0.25,2025-11-09,0.33,0.06,1398.51,1407.67
Put,22000,21800,0.25,2025-11-09,0.34,0.06,1204.64,1198.82
Call,22000,22300,0.25,2025-11-09,0.26,0.06,1199.66,1164.99
Put,22000,21000,0.16,2025-10-10,0.21,0.06,262.85,274.06
Call,22000,21000,0.08,2025-09-10,0.18,0.06,1327.61,1201.87
Call,22000,21900,0.04,2025-08-25,0.34,0.06,620.88,653.76
Put,22000,22700,0.04,2025-08-25,0.2,0.06,718.9,765.36
Put,22000,21100,0.04,2025-08-25,0.3,0.06,172.97,163.5
Call,22000,21800,0.08,2025-09-10,0.29,0.06,928.12,892.78
Call,22000,21900,0.04,2025-08-25,0.31,0.06,632.04,612.91
Call,22000,22200,0.16,2025-10-10,0.25,0.06,934.48,906.01
Call,22000,21300,0.25,2025-11-09,0.19,0.06,1408.87,1409.73
Put,22000,22300,0.16,2025-10-10,0.33,0.06,1152.84,1206.99
Call,22000,21100,0.04,2025-08-25,0.24,0.06,1044.73,1040.78
Call,22000,22800,0.02,2025-08-18,0.18,0.06,20.81,21.54
Put,22000,22600,0.16,2025-10-10,0.16,0.06,813.12,775.32
Call,22000,22000,0.16,2025-10-10,0.22,0.06,868.52,874.95
Put,22000,22100,0.16,2025-10-10,0.27,0.06,878.88,916.72
Put,22000,21500,0.25,2025-11-09,0.19,0.06,456.97,464.43
Put,22000,22400,0.08,2025-09-10,0.28,0.06,874.74,857.05
Put,22000,22500,0.25,2025-11-09,0.34,0.06,1544.25,1589.04
Put,22000,22800,0.02,2025-08-18,0.23,0.06,790.13,824.0
Call,22000,21400,0.04,2025-08-25,0.34,0.06,973.09,961.37
